X,Y,id,name
-111.677110056941,34.1535590771986,04,Arizona
-91.6459648257732,30.97417802603,22,Louisiana
-115.461191636448,45.4931470221035,16,Idaho
-94.510890282921,46.459158423541,27,Minnesota
-100.451171877603,47.4565271117544,38,North Dakota
-100.25465803518,44.0220064632684,46,South Dakota
-76.076183940579,42.7647730702201,36,New York
-152.916779432517,62.865051757215,02,Alaska
-83.255617035322,32.6742578193841,13,Georgia
-86.1729603773575,39.7451777940759,18,Indiana
-86.9378216010689,46.2667289759582,26,Michigan
-89.705502332876,32.5909278274979,28,Mississippi
-82.7371938535781,40.2155124052376,39,Ohio
-99.6556359466909,31.1713330359178,48,Texas
-66.4008852080278,18.2210065031099,72,Puerto Rico
-100.026737821427,41.4899283648732,31,Nebraska
-105.548866674767,39.0192723749817,08,Colorado
-76.7508263640079,38.8195415437027,24,Maryland
-98.3281044844935,38.6077827632104,20,Kansas
-89.4499885965186,39.7456074768281,17,Illinois
-90.3719739600431,44.7350259083524,55,Wisconsin
-120.012238592978,37.3041596800843,06,California
-93.1470401654315,41.9426527334508,19,Iowa
-77.8000348345271,41.0144378441291,42,Pennsylvania
-109.340817896729,46.6850912847247,30,Montana
-92.4919124537072,38.3071117894204,29,Missouri
-81.5245367858183,27.9571602766634,12,Florida
-84.727062895475,37.8195961040231,21,Kentucky
-69.1565676917485,45.2586235620528,23,Maine
-111.550166230962,39.5110840381804,49,Utah
-97.2199099644009,35.1599466736102,40,Oklahoma
-86.3256074801016,35.8291538112567,47,Tennessee
-120.518896698898,44.1263816670675,41,Oregon
-80.2965944920649,38.9148974642645,54,West Virginia
-92.4980654987914,34.75103414694,05,Arkansas
-119.737346201722,47.2735475232022,53,Washington
-80.3900684349321,35.2200803379004,37,North Carolina
-78.2289973503557,38.0060110453723,51,Virginia
-107.548103428834,43.01003416228,56,Wyoming
-86.7378779377547,32.6265801654827,01,Alabama
-80.5679824720493,33.614067972695,45,South Carolina
-106.045086569286,34.2897192433748,35,New Mexico
-71.5469217642482,44.0129870615888,33,New Hampshire
-170.757075026206,-14.3085760744563,60,American Samoa
-72.7770056583169,43.869523028375,50,Vermont
-116.646548496796,38.474627704996,32,Nevada
-155.468423828942,19.6139730751434,15,Hawaii
-72.0844117669874,42.1286394938149,25,Massachusetts
-64.7571381814354,17.7291956658312,78,United States Virgin Islands
-71.6035325619841,41.6630285483489,44,Rhode Island
-74.3861644080334,40.1390573467906,34,New Jersey
-75.5785648456793,39.1588693966036,10,Delaware
-72.6645632837096,41.471887793459,09,Connecticut
145.203978912763,14.1550772819371,69,Commonwealth of the Northern Mariana Islands
144.727589275429,13.4394808053969,66,Guam
-76.9880188163117,38.8929905942961,11,District of Columbia
